Link,Checked
https://chess-results.com/tnr255927.aspx?lan=1,False
https://chess-results.com/tnr255925.aspx?lan=1,False
https://chess-results.com/tnr255960.aspx?lan=1,False
https://chess-results.com/tnr255961.aspx?lan=1,False
https://chess-results.com/tnr253834.aspx?lan=1,False
https://chess-results.com/tnr253833.aspx?lan=1,False
https://chess-results.com/tnr253832.aspx?lan=1,False
https://chess-results.com/tnr253831.aspx?lan=1,False
https://chess-results.com/tnr253830.aspx?lan=1,False
https://chess-results.com/tnr253829.aspx?lan=1,False
https://chess-results.com/tnr253840.aspx?lan=1,False
https://chess-results.com/tnr253839.aspx?lan=1,False
https://chess-results.com/tnr253838.aspx?lan=1,False
https://chess-results.com/tnr253837.aspx?lan=1,False
https://chess-results.com/tnr253836.aspx?lan=1,False
https://chess-results.com/tnr253835.aspx?lan=1,False
https://chess-results.com/tnr233629.aspx?lan=1,False
https://chess-results.com/tnr233628.aspx?lan=1,False
https://chess-results.com/tnr233626.aspx?lan=1,False
https://chess-results.com/tnr233635.aspx?lan=1,False
https://chess-results.com/tnr233634.aspx?lan=1,False
https://chess-results.com/tnr233632.aspx?lan=1,False
https://chess-results.com/tnr233633.aspx?lan=1,False
https://chess-results.com/tnr233627.aspx?lan=1,False
https://chess-results.com/tnr233631.aspx?lan=1,False
https://chess-results.com/tnr233630.aspx?lan=1,False
https://chess-results.com/tnr233625.aspx?lan=1,False
https://chess-results.com/tnr233624.aspx?lan=1,False
https://chess-results.com/tnr230197.aspx?lan=1,False
https://chess-results.com/tnr230187.aspx?lan=1,False
https://chess-results.com/tnr180038.aspx?lan=1,False
https://chess-results.com/tnr180030.aspx?lan=1,False
https://chess-results.com/tnr180028.aspx?lan=1,False
https://chess-results.com/tnr180029.aspx?lan=1,False
https://chess-results.com/tnr180031.aspx?lan=1,False
https://chess-results.com/tnr180035.aspx?lan=1,False
https://chess-results.com/tnr180036.aspx?lan=1,False
https://chess-results.com/tnr180034.aspx?lan=1,False
https://chess-results.com/tnr180037.aspx?lan=1,False
https://chess-results.com/tnr180032.aspx?lan=1,False
https://chess-results.com/tnr180033.aspx?lan=1,False
https://chess-results.com/tnr180039.aspx?lan=1,False
https://chess-results.com/tnr182812.aspx?lan=1,False
https://chess-results.com/tnr182811.aspx?lan=1,False
https://chess-results.com/tnr182810.aspx?lan=1,False
https://chess-results.com/tnr182815.aspx?lan=1,False
https://chess-results.com/tnr182814.aspx?lan=1,False
https://chess-results.com/tnr182813.aspx?lan=1,False
https://chess-results.com/tnr182567.aspx?lan=1,False
https://chess-results.com/tnr182563.aspx?lan=1,False
https://chess-results.com/tnr182564.aspx?lan=1,False
https://chess-results.com/tnr182669.aspx?lan=1,False
https://chess-results.com/tnr182672.aspx?lan=1,False
https://chess-results.com/tnr181452.aspx?lan=1,False
https://chess-results.com/tnr181450.aspx?lan=1,False
https://chess-results.com/tnr181453.aspx?lan=1,False
https://chess-results.com/tnr181463.aspx?lan=1,False
https://chess-results.com/tnr181454.aspx?lan=1,False
https://chess-results.com/tnr181457.aspx?lan=1,False
https://chess-results.com/tnr181455.aspx?lan=1,False
https://chess-results.com/tnr181461.aspx?lan=1,False
https://chess-results.com/tnr181462.aspx?lan=1,False
https://chess-results.com/tnr181459.aspx?lan=1,False
https://chess-results.com/tnr181460.aspx?lan=1,False
https://chess-results.com/tnr181458.aspx?lan=1,False
https://chess-results.com/tnr144985.aspx?lan=1,False
https://chess-results.com/tnr144981.aspx?lan=1,False
https://chess-results.com/tnr144980.aspx?lan=1,False
https://chess-results.com/tnr144984.aspx?lan=1,False
https://chess-results.com/tnr144974.aspx?lan=1,False
https://chess-results.com/tnr144983.aspx?lan=1,False
https://chess-results.com/tnr144977.aspx?lan=1,False
https://chess-results.com/tnr144982.aspx?lan=1,False
https://chess-results.com/tnr144973.aspx?lan=1,False
https://chess-results.com/tnr144976.aspx?lan=1,False
https://chess-results.com/tnr144979.aspx?lan=1,False
https://chess-results.com/tnr144978.aspx?lan=1,False
https://chess-results.com/tnr139343.aspx?lan=1,False
https://chess-results.com/tnr139342.aspx?lan=1,False
https://chess-results.com/tnr106045.aspx?lan=1,False
https://chess-results.com/tnr106041.aspx?lan=1,False
https://chess-results.com/tnr106042.aspx?lan=1,False
https://chess-results.com/tnr106051.aspx?lan=1,False
https://chess-results.com/tnr106043.aspx?lan=1,False
